date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2015-01-04,-14,-12,-18,-4.0,-6.0,-6.0,-11.0,-9.0,-12.0,1016.0,1022.0,1023.0,92.0,92.0,84.0,59.0,56.0,54.0,3.0,1.0,2.0,-13.0,-12.0,-13.0,-4.0,-6.0,-6.0,-16.0,-13.0,-18.0,1025.0,1026.0,1025.0,1010.0,1017.0,1019.0,0.76,0.0,0.0
2015-01-05,-9,-3,-14,-14.0,-4.0,-6.0,-19.0,-11.0,-9.0,1033.0,1016.0,1022.0,80.0,92.0,92.0,46.0,59.0,56.0,-12.0,3.0,1.0,-18.0,-13.0,-12.0,-16.0,-4.0,-6.0,-23.0,-16.0,-13.0,1043.0,1025.0,1026.0,1023.0,1010.0,1017.0,0.25,0.76,0.0
2015-01-06,-10,-6,-14,-9.0,-14.0,-4.0,-14.0,-19.0,-11.0,1032.0,1033.0,1016.0,80.0,80.0,92.0,53.0,46.0,59.0,-3.0,-12.0,3.0,-14.0,-18.0,-13.0,-8.0,-16.0,-4.0,-17.0,-23.0,-16.0,1043.0,1043.0,1025.0,1023.0,1023.0,1010.0,0.0,0.25,0.76
2015-01-07,-16,-12,-19,-10.0,-9.0,-14.0,-15.0,-14.0,-19.0,1036.0,1032.0,1033.0,80.0,80.0,80.0,54.0,53.0,46.0,-6.0,-3.0,-12.0,-14.0,-14.0,-18.0,-12.0,-8.0,-16.0,-18.0,-17.0,-23.0,1043.0,1043.0,1043.0,1027.0,1023.0,1023.0,0.0,0.0,0.25
2015-01-08,-7,2,-16,-16.0,-10.0,-9.0,-22.0,-15.0,-14.0,1035.0,1036.0,1032.0,72.0,80.0,80.0,45.0,54.0,53.0,-12.0,-6.0,-3.0,-19.0,-14.0,-14.0,-18.0,-12.0,-8.0,-24.0,-18.0,-17.0,1055.0,1043.0,1043.0,956.0,1027.0,1023.0,0.0,0.0,0.0
2015-01-09,-11,-7,-16,-7.0,-16.0,-10.0,-12.0,-22.0,-15.0,1024.0,1035.0,1036.0,69.0,72.0,80.0,55.0,45.0,54.0,2.0,-12.0,-6.0,-16.0,-19.0,-14.0,-4.0,-18.0,-12.0,-21.0,-24.0,-18.0,1037.0,1055.0,1043.0,1014.0,956.0,1027.0,0.0,0.0,0.0
2015-01-10,-6,6,-17,-11.0,-7.0,-16.0,-19.0,-12.0,-22.0,1035.0,1024.0,1035.0,69.0,69.0,72.0,43.0,55.0,45.0,-7.0,2.0,-12.0,-16.0,-16.0,-19.0,-13.0,-4.0,-18.0,-21.0,-21.0,-24.0,1039.0,1037.0,1055.0,1030.0,1014.0,956.0,0.0,0.0,0.0
2015-01-11,-5,3,-13,-6.0,-11.0,-7.0,-12.0,-19.0,-12.0,1023.0,1035.0,1024.0,79.0,69.0,69.0,43.0,43.0,55.0,6.0,-7.0,2.0,-17.0,-16.0,-16.0,-6.0,-13.0,-4.0,-19.0,-21.0,-21.0,1031.0,1039.0,1037.0,1019.0,1030.0,1014.0,0.0,0.0,0.0
2015-01-12,-13,-7,-19,-5.0,-6.0,-11.0,-11.0,-12.0,-19.0,1024.0,1023.0,1035.0,96.0,79.0,69.0,47.0,43.0,43.0,3.0,6.0,-7.0,-13.0,-17.0,-16.0,-7.0,-6.0,-13.0,-14.0,-19.0,-21.0,1031.0,1031.0,1039.0,1021.0,1019.0,1030.0,0.0,0.0,0.0
2015-01-13,-12,-4,-20,-13.0,-5.0,-6.0,-17.0,-11.0,-12.0,1040.0,1024.0,1023.0,87.0,96.0,79.0,45.0,47.0,43.0,-7.0,3.0,6.0,-19.0,-13.0,-17.0,-13.0,-7.0,-6.0,-21.0,-14.0,-19.0,1044.0,1031.0,1031.0,1032.0,1021.0,1019.0,0.0,0.0,0.0
2015-01-14,-2,4,-9,-12.0,-13.0,-5.0,-18.0,-17.0,-11.0,1037.0,1040.0,1024.0,87.0,87.0,96.0,40.0,45.0,47.0,-4.0,-7.0,3.0,-20.0,-19.0,-13.0,-14.0,-13.0,-7.0,-23.0,-21.0,-14.0,1043.0,1044.0,1031.0,1032.0,1032.0,1021.0,0.0,0.0,0.0
2015-01-15,1,9,-9,-2.0,-12.0,-13.0,-8.0,-18.0,-17.0,1026.0,1037.0,1040.0,84.0,87.0,87.0,51.0,40.0,45.0,4.0,-4.0,-7.0,-9.0,-20.0,-19.0,-4.0,-14.0,-13.0,-15.0,-23.0,-21.0,1030.0,1043.0,1044.0,1023.0,1032.0,1032.0,0.0,0.0,0.0
2015-01-16,4,15,-7,1.0,-2.0,-12.0,-6.0,-8.0,-18.0,1023.0,1026.0,1037.0,91.0,84.0,87.0,45.0,51.0,40.0,9.0,4.0,-4.0,-9.0,-9.0,-20.0,-2.0,-4.0,-14.0,-10.0,-15.0,-23.0,1024.0,1030.0,1043.0,1021.0,1023.0,1032.0,0.0,0.0,0.0
2015-01-17,7,12,3,4.0,1.0,-2.0,-4.0,-6.0,-8.0,1014.0,1023.0,1026.0,96.0,91.0,84.0,30.0,45.0,51.0,15.0,9.0,4.0,-7.0,-9.0,-9.0,-2.0,-2.0,-4.0,-7.0,-10.0,-15.0,1022.0,1024.0,1030.0,1008.0,1021.0,1023.0,0.0,0.0,0.0
2015-01-18,4,14,-6,7.0,4.0,1.0,-3.0,-4.0,-6.0,1012.0,1014.0,1023.0,65.0,96.0,91.0,32.0,30.0,45.0,12.0,15.0,9.0,3.0,-7.0,-9.0,1.0,-2.0,-2.0,-5.0,-7.0,-10.0,1016.0,1022.0,1024.0,1006.0,1008.0,1021.0,0.0,0.0,0.0
2015-01-19,5,16,-6,4.0,7.0,4.0,-4.0,-3.0,-4.0,1015.0,1012.0,1014.0,85.0,65.0,96.0,25.0,32.0,30.0,14.0,12.0,15.0,-6.0,3.0,-7.0,-2.0,1.0,-2.0,-7.0,-5.0,-7.0,1017.0,1016.0,1022.0,1012.0,1006.0,1008.0,0.0,0.0,0.0
2015-01-20,4,11,-3,5.0,4.0,7.0,-3.0,-4.0,-3.0,1015.0,1015.0,1012.0,84.0,85.0,65.0,33.0,25.0,32.0,16.0,14.0,12.0,-6.0,-6.0,3.0,1.0,-2.0,1.0,-6.0,-7.0,-5.0,1017.0,1017.0,1016.0,1013.0,1012.0,1006.0,0.0,0.0,0.0
